cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,95.454544,100,100,100,100,100,95.2381,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,95,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100
100,95.2381,100,100,100,100,100,100,95.454544,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,95.2381,100,100,100,100,95.2381,100,100,95.454544,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,95.2381,100,95.454544,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,95,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,95.454544,95.454544,100,100,100,100,100,50,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,52.63158,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
94.73685,100,100,68.42105,100,100,95.454544,94.73685,100,95,100,100,100,100,100,100,95.2381,95.2381,94.73685,95,95,100,100,100,95,95,95.2381,100,100,95.454544,95.2381,95,95,100,95,100,100,100,100,95,95.2381,100,100,95,100,95,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,95,100,100,95.2381,100,95,95,100,100,100,100,100,100,100,95,95.2381,100,100,95,100,95.2381,95.2381,95,100,100,100,100,100,75,95.2381,100,95,100,95,95.2381,100
100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,95,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,95.2381,100,100,95.2381,95.2381,95.2381,100,100,95.2381,95.2381,95.454544,100,100,100,100,100,100,100,95.2381,100,95.2381,100,100,60.000004,100,95.2381,100,100,95.2381,95.2381,100,100,100,100,100,95.2381,100,100,100,95.2381,95.2381,100,95.2381,95.2381,95.2381,100,100,100,95.2381,100,100,95.2381
95.2381,95.2381,95,100,100,100,95,95.2381,100,100,95,100,95,95.2381,95.2381,95.454544,100,100,95.2381,26.086956,100,100,100,95.2381,100,100,100,95.2381,95,100,100,100,95.2381,100,95.2381,100,95.2381,95,95,100,95.2381,100,95,100,100,100,100,100,100,100,95,95.2381,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,94.73685,95,100,100,95.454544,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.454544,100,100,100,95.2381,95.2381,100,100,100,100,100
94.73685,94.117645,94.44444,95,100,94.73685,94.44444,94.73685,95.2381,100,94.73685,94.44444,94.44444,94.73685,94.73685,100,94.73685,89.47369,94.117645,77.77778,94.73685,94.44444,94.73685,94.73685,94.73685,95,100,94.44444,94.73685,94.73685,95,95,100,95,94.44444,95.2381,94.73685,94.44444,100,94.73685,94.44444,100,100,95.454544,89.47369,100,94.44444,94.117645,100,94.44444,100,100,94.117645,94.73685,94.73685,94.73685,95.2381,100,94.44444,94.44444,95,90.47619,94.73685,95,90,94.73685,100,95,94.73685,94.44444,95,100,100,100,89.47369,94.44444,94.73685,95,90,94.73685,94.73685,95,95,100,94.73685,94.44444,94.73685,94.73685,94.44444,94.44444,94.73685,94.73685,94.44444,95,89.47369,94.44444
90,95,90.47619,95,95.2381,95,90,100,100,95,95,90.47619,89.47369,95,95,95,95.2381,94.73685,95.2381,95.2381,90.47619,95,95,95,95.2381,100,95.2381,95,90.47619,95,100,90,95,95,90.47619,90,95,94.73685,95,95,95.2381,95.2381,95.2381,100,90,100,90.47619,95,100,89.47369,100,95.2381,90.47619,95.2381,90.47619,100,100,95.2381,90,95.2381,95.2381,100,95,95.2381,94.73685,94.73685,95.2381,90.47619,90,90,100,95,95.2381,95.2381,94.73685,95.2381,95,95,90.47619,95,100,95,100,95.2381,95,94.73685,94.73685,95,95,95,95.2381,95.2381,95.2381,100,95,95
90,90,89.47369,95,100,94.73685,90,100,95,100,94.73685,94.73685,95,94.73685,95.2381,94.73685,100,90,89.47369,95.2381,95,95,94.73685,94.73685,86.36364,95,100,95.2381,94.44444,94.73685,95,94.73685,95,100,89.47369,89.47369,94.73685,90,95.2381,94.73685,94.73685,95,100,95,94.44444,95.2381,90,90,100,90,95,94.73685,94.73685,89.47369,94.44444,95,94.73685,95,94.73685,95,94.73685,95,94.73685,95,90.47619,95.2381,100,94.44444,90,94.73685,95,90,95,95,90,94.73685,94.73685,95,94.73685,90,95.2381,89.47369,95,95,89.47369,94.73685,90,94.73685,94.73685,94.73685,100,100,95,89.47369,90,95
95,100,95.2381,95.2381,95.2381,95.2381,100,95.454544,100,100,95.2381,95.2381,95,100,100,100,95.2381,95.2381,95.2381,100,100,95.2381,100,85,100,95.2381,100,100,95.454544,100,100,95.2381,95.2381,100,95,95.454544,95.454544,95,95,95.2381,100,100,100,95.2381,95.454544,100,95.2381,100,95.652176,100,100,100,95.2381,100,95.454544,100,100,100,95.2381,100,95.454544,95,95.2381,100,95,95.454544,100,95.454544,95.2381,95.2381,100,100,100,100,95.2381,100,95.2381,100,95,95.2381,100,95.2381,100,95.454544,100,100,100,100,100,95.2381,95.2381,95,100,100,95.2381,95
100,100,100,100,100,100,95,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,95.454544,95,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,95.2381,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,95.2381,100,100,95.2381,100,95.2381,100,100,100,95,100,95.2381,100,100,100,95.454544,95.2381,100,100
100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,95.2381,100,100,100,100,95.2381,100,100,95.2381,100,95.2381,100,95.2381,100,95.454544,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,95.2381,100,100,100,100,100,95.454544,95.2381,95.2381,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,95.2381,100,100,95.454544,100,100,95.2381,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100
95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,95,100,75,95,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,95.2381,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,95.2381,100,95.2381,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100
100,100,95.2381,100,100,100,100,100,95.454544,95.454544,100,95.2381,100,100,95.2381,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,95.2381,95,100,100,95.454544,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,95.2381
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,55,100,100,95.2381,100,100,100,100,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,15.000001,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15.000001,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.71429,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,95.2381,95.2381,100
100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,95.2381,100,95.2381,95.454544,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,95.2381,100,100,100,100,95.2381,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,95.454544,100,100,100,100,95.2381,100,100,100,100
100,100,100,100,95.2381,100,100,95.2381,100,100,95,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,95.2381,95.2381,100,95.2381,100,95.454544,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,95,100,100,100,100,100,100,100,95,95.2381,100,100,95.2381,100,100,100,95.454544,100,100,100,95.2381,95.2381,100,100,100,100,95.2381,100,100,95.454544,100,100,100,95.2381,95.454544,100,100,95.2381,100,100,100,100,100,100,100,95.2381,100,100,95.2381,100,100,100
95.454544,95,95.2381,100,100,100,100,100,95.454544,100,100,95,100,100,95.2381,95.2381,95.2381,95,100,95.2381,100,100,100,95,100,100,100,100,100,100,100,95.2381,100,100,95.2381,95.2381,95.454544,95.2381,100,95.2381,100,95.2381,95.2381,100,100,95,100,95.2381,100,100,100,100,100,100,95.2381,95,100,95,100,100,100,100,95.2381,95,100,100,100,100,95.2381,95.2381,100,95.2381,100,100,100,95.2381,95,100,100,100,95.454544,100,95.2381,100,95.2381,100,100,95.454544,95.2381,100,95.2381,100,100,100,100,95.454544
95,100,100,94.73685,95,95,95,94.73685,100,100,95.2381,100,95,95.2381,100,100,100,100,94.73685,84.210526,95,95.2381,95,100,95,94.73685,100,95,95.2381,94.73685,95.2381,100,95,95.2381,95,95,100,94.73685,95.2381,100,95,100,95,94.73685,95,100,95,100,95,95,95.2381,95,100,95,95,100,95.2381,100,95,94.73685,95.2381,95,100,95.2381,95,100,95,95,95,100,100,100,95,95,95.2381,100,100,95,95,95,95,95,100,95.2381,100,95.2381,95,100,100,95,100,100,100,94.73685,95.2381,100
94.73685,90.47619,90,90.47619,90,95,90.47619,95.2381,90,90,94.73685,90.47619,90,90,94.73685,90.47619,90.47619,90,90.47619,63.15789,94.73685,90,90,90,90.47619,95,95,94.73685,90.47619,95,95,90,94.44444,94.73685,90,94.73685,90,90.909096,95,90.47619,95,90,95,90.47619,90,95,90.47619,90,95,95,95,90.47619,90.47619,90,95,90.47619,95,90.47619,90,95.2381,95,90.47619,89.47369,90,89.47369,90,95,94.73685,90,90,94.73685,90.47619,95,90,90,90,90.47619,90,95,90.47619,90.47619,90,94.73685,94.44444,90.47619,90.47619,90.47619,90,90.47619,90,90.47619,90,90,90.47619,90,90
85.71429,86.36364,85.71429,86.36364,85,90,85.71429,90.47619,85.71429,94.73685,90,85,90.47619,90.47619,90,90.47619,94.73685,85.71429,85.71429,86.36364,90,90.47619,85.71429,94.73685,85,90,90,89.47369,90,90,94.73685,86.36364,90.909096,90,90,85,89.47369,89.47369,85,89.47369,90,89.47369,86.36364,86.36364,89.47369,90,90,86.36364,94.73685,90,90,90,94.73685,90,85,90,85.71429,89.47369,90,89.47369,85.71429,89.47369,85.71429,90.47619,85.71429,90,94.73685,85.71429,90.47619,90,90,85,90,89.47369,90.47619,85.71429,90,89.47369,85.71429,90,90,90,86.36364,90,89.47369,90,90,89.47369,85.71429,85.71429,85.71429,90,89.47369,89.47369,90,42.105263
85,85,89.47369,90,90,89.47369,89.47369,85.71429,85.71429,90.47619,89.47369,88.88889,85.71429,84.210526,90.47619,89.47369,89.47369,90,84.210526,89.47369,85.71429,85.71429,90,90,85,90.47619,94.73685,90,89.47369,89.47369,94.73685,85.71429,88.88889,94.44444,85,85,90,90,85,85.71429,85.71429,90,85.71429,85,85,90,85,85.71429,95,90.47619,94.117645,90.47619,89.47369,85.71429,90,90.47619,89.47369,89.47369,90,89.47369,90.47619,85.71429,84.210526,85,89.47369,90,88.88889,90,90,85.71429,89.47369,85,94.44444,85.71429,85.71429,84.210526,89.47369,85,89.47369,85,85.71429,90,85,89.47369,90,89.47369,89.47369,90,85,89.47369,90,89.47369,90,85,90,90.47619
89.47369,83.33333,85,90,84.210526,83.33333,84.210526,88.2353,88.88889,94.44444,89.47369,85,84.210526,88.88889,88.88889,90,88.88889,84.210526,84.210526,83.33333,88.88889,83.33333,90,89.47369,88.2353,94.73685,94.44444,89.47369,89.47369,89.47369,89.47369,84.210526,90,89.47369,88.88889,89.47369,88.88889,83.33333,88.2353,88.88889,88.88889,89.47369,88.88889,89.47369,84.210526,84.210526,89.47369,88.2353,94.73685,88.88889,90,84.210526,94.117645,88.88889,89.47369,89.47369,89.47369,90,84.210526,90,89.47369,88.88889,83.33333,84.210526,84.210526,88.88889,94.44444,89.47369,84.210526,89.47369,94.73685,88.88889,88.88889,89.47369,84.210526,88.88889,89.47369,88.88889,85,88.88889,84.210526,85,88.88889,89.47369,88.88889,89.47369,90,89.47369,88.2353,83.33333,84.210526,89.47369,88.88889,85,85,89.47369
85.71429,85.71429,85.71429,89.47369,90,86.36364,90.47619,90.47619,90.47619,95.2381,86.36364,85.71429,90,85,90,85,90,90,85.71429,86.36364,90.47619,90,89.47369,89.47369,85.71429,90.47619,95.2381,90,90.47619,85.71429,85.71429,90.47619,94.44444,90,85.71429,85.71429,90,85.71429,90.47619,85.71429,90,90,85.71429,85.71429,85.71429,89.47369,85.71429,86.36364,90.47619,90.47619,90.47619,85,80.952385,90.909096,85.71429,89.47369,90.47619,90,90.47619,90.47619,89.47369,86.36364,85.71429,85.71429,85.71429,90,90.47619,90.47619,90.47619,90,90,72.72727,90,85.71429,85,85.71429,90,86.36364,90.47619,86.36364,90,90,85.71429,90,85.71429,95.2381,90,89.47369,86.36364,85.71429,85.71429,85.71429,90.47619,90,89.47369,90.47619
95,94.73685,95.2381,90,90.47619,95,90.47619,90.909096,95.2381,95.2381,95.2381,95.2381,90.909096,95.2381,95,95.2381,95.2381,91.30435,95,95,90.47619,90.47619,91.30435,90.909096,90.47619,100,90.909096,95.2381,95,95,90.47619,95.2381,91.30435,95.2381,95,90,90.909096,95,95,95.2381,95.2381,90.909096,90.909096,90.47619,90.909096,95.2381,95,90,85.71429,90,95.454544,95.2381,95.2381,95,95.2381,95.2381,95,90,95,95,95,95,95,90.47619,95,95.454544,95,90.47619,95,95.2381,95,80,95.454544,95,95.2381,95.2381,95.2381,94.73685,95.2381,95.2381,95.2381,95.2381,90.47619,95.454544,95,95.2381,95.2381,95.454544,90.47619,95.2381,90.47619,100,95.2381,90.47619,90.909096,95
95.2381,95,95,95,100,95,100,100,100,95.2381,100,94.73685,100,95,100,95,100,100,95,95,100,95,100,94.73685,95,95,100,95,95,95,100,95,100,100,95,95,100,95,95,95,95.2381,95,100,100,100,95,95.2381,95,95,100,100,95,95,100,95,95,100,100,95.2381,95.2381,95.2381,94.73685,95,100,95.2381,100,95.2381,100,94.73685,95,95.2381,95.2381,95,95,95,94.73685,95.2381,95.2381,100,94.73685,95.2381,95,95,95,95,100,100,94.73685,95,95,100,94.73685,95,100,94.73685,100
